model,vendor,tier,release_date,launch_price_in,launch_price_out,current_price_in,current_price_out,metr_horizon_min_p50,metr_horizon_min_p80,metr_key,metr_source,aa_intel,aa_version,aa_source,notes,source_url
gpt-4,OpenAI,frontier,2023-03-14,30,60,30,60,3.987,0.89,gpt_4,https://metr.org/assets/benchmark_results_1_1.yaml,7.0,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,Launch price is the 8K-context tier; the 32K tier launched at $60/$120. Current price is the OpenRouter route.,https://web.archive.org/web/20230315170630/https://openai.com/pricing
claude-3-opus,Anthropic,frontier,2024-03-04,15,75,15,75,3.952,0.639,claude_3_opus_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,11.8,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,,https://www.anthropic.com/news/claude-3-family
claude-3-haiku,Anthropic,bottom,2024-03-13,0.25,1.25,0.25,1.25,,,,,3.9,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,Price and index announced with the Claude 3 family on 2024-03-04; API availability 2024-03-13.,https://www.anthropic.com/news/claude-3-haiku
gpt-4o,OpenAI,frontier,2024-05-13,,,2.5,10,6.991,1.267,gpt_4o_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,8.6,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,AA index is the dated gpt-4o-2024-05-13 checkpoint that matches this release date; the rolling gpt-4o alias scores 11.2 and reflects later checkpoints. Launch price not verified in this snapshot. Release date from METR's release_dates.yaml; current price is the OpenRouter route.,https://raw.githubusercontent.com/METR/eval-analysis-public/main/data/external/release_dates.yaml
gpt-4o-mini,OpenAI,bottom,2024-07-18,0.15,0.6,0.15,0.6,,,,,6.9,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,In METR's release_dates.yaml but with no measured horizon in either suite.,https://web.archive.org/web/20240719000627/https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/
claude-3-5-haiku,Anthropic,bottom,2024-11-04,1,5,0.8,4,,,,,12.3,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,"Launched at $1/$5 per the announcement's own 11/04/2024 update note; repriced to $0.80/$4 on 2024-12-03. Announced 2024-10-22, API availability 2024-11-04.",https://web.archive.org/web/20241111055138/https://www.anthropic.com/news/3-5-models-and-computer-use
o1-preview,OpenAI,frontier,2024-09-12,,,,,20.327,4.421,o1_preview,https://metr.org/assets/benchmark_results_1_1.yaml,17.0,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,The inflection: the first model trained to spend test-time compute. Launch price not verified in this snapshot.,https://web.archive.org/web/20260729212647/https://openai.com/index/learning-to-reason-with-llms/
o1,OpenAI,frontier,2024-12-17,15,60,15,60,38.832,7.09,o1_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,23.4,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,"Date is API general availability; the chat model was announced 2024-12-05, which is the date METR records. Price from a secondary source.",https://techcrunch.com/2024/12/17/openai-brings-its-o1-reasoning-model-to-its-api-for-certain-developers/
claude-3-7-sonnet,Anthropic,frontier,2025-02-24,3,15,3,15,60.389,12.092,claude_3_7_sonnet_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,27.1,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,AA index is the highest-scoring published configuration (claude-3-7-sonnet-thinking); the non-thinking figure is 23.5.,https://www.anthropic.com/news/claude-3-7-sonnet
o3,OpenAI,frontier,2025-04-16,10,40,2,8,119.733,29.982,o3_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,30.4,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,Launch price is the first archived post-launch snapshot (2025-05-03); the launch post carried no pricing. Cut to $2/$8 by 2025-07-02 per https://web.archive.org/web/20250702152237/https://openai.com/api/pricing/,https://web.archive.org/web/20250503232709/https://openai.com/api/pricing/
claude-opus-4,Anthropic,frontier,2025-05-22,15,75,15,75,100.366,20.43,claude_4_opus_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,31.0,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,AA index is the highest-scoring published configuration (claude-4-opus-thinking); the non-thinking figure is 25.5.,https://www.anthropic.com/news/claude-4
gemini-2.5-flash-lite,Google,bottom,2025-07-22,0.1,0.4,0.1,0.4,,,,,11.4,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,"AA index is the highest-scoring published configuration of this checkpoint (gemini-2-5-flash-lite-reasoning); non-reasoning is 6.9. Preview shipped 2025-06-17, stable 2025-07-22.",https://ai.google.dev/gemini-api/docs/changelog
gpt-5,OpenAI,frontier,2025-08-07,1.25,10,1.25,10,203.013,38.312,gpt_5_2025_08_07_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,34.7,2026-08-01,https://openrouter.ai/api/v1/models,Price from a secondary source; openai.com blocks direct fetches.,https://www.infoq.com/news/2025/08/openai-gpt5-release/
gpt-5-nano,OpenAI,bottom,2025-08-07,0.05,0.4,0.05,0.4,,,,,19.9,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,Still cheaper at the freeze date ($0.05/$0.40) than every OpenAI bottom-tier model released after it.,https://web.archive.org/web/20250810000000/https://openai.com/index/introducing-gpt-5-for-developers/
claude-haiku-4.5,Anthropic,bottom,2025-10-15,1,5,1,5,,,,,29.6,2026-08-01,https://openrouter.ai/api/v1/models,AA index is the highest-scoring published configuration (claude-4-5-haiku-reasoning); non-reasoning is 23.7.,https://www.anthropic.com/news/claude-haiku-4-5
claude-opus-4.5,Anthropic,frontier,2025-11-24,5,25,5,25,292.995,49.431,claude_opus_4_5_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,40.8,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,Opus pricing cut 3x from Opus 4's $15/$75 at this release. AA index is the highest-scoring published configuration (claude-opus-4-5-thinking); the non-thinking figure is 34.7.,https://www.anthropic.com/news/claude-opus-4-5
claude-opus-4.6,Anthropic,frontier,2026-02-05,,,5,25,718.807,69.875,claude_opus_4_6_inspect,https://metr.org/assets/benchmark_results_1_1.yaml,43.7,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,"Release date is METR's record, the same source as this row's horizon; OpenRouter lists 2026-02-04. AA index is the highest-scoring published configuration (claude-opus-4-6-adaptive); the base configuration is 37.8. Price from the OpenRouter listing; no vendor announcement verified in this snapshot. METR measures it at 12.0 h, above the 16 h reliability ceiling only for its upper CI.",https://metr.org/assets/benchmark_results_1_1.yaml
gpt-5.4,OpenAI,frontier,2026-03-05,,,2.5,15,341.735,53.878,gpt_5_4,https://metr.org/assets/benchmark_results_1_1.yaml,51.4,≤2026-07-05,https://artificialanalysis.ai/api/v2/data/llms/models,Release date from METR; current price is the OpenRouter route. Launch price not verified.,https://metr.org/assets/benchmark_results_1_1.yaml
